Nome,Preço_Sócio,Preço_Normal,Pontuação,Avaliações
Champagne Dom Ruinart Rosé Brut 1998 Com Estojo,2348.9,2763.41,,
Quinta De São João D.O.C. Tejo Reserva 2015,47.9,56.35,3.0,16
Ropiteau Frères Macon Villages Blanc 2015,99.9,117.53,4.0,3
Champagne Dom Pérignon Oenothèque 1975,10302.9,12121.06,,
Champagne Veuve Clicquot Rosé Brut com Cartucho,623.82,733.9,,
Pinhal Da Torre Special D.O.C. Tejo 2008,548.83,645.68,,
Finca La Chamiza Chardonnay 2018,32.83,38.62,4.0,2
Château lEsparrou Intense I.G.P. Pays dOc Rouge 2018,38.87,45.73,,
Espumante Marquês de Marialva Reserva D.O.C. Bairrada Bical Arinto 2014,110.6,130.12,,
Château LEsparrou Intense I.G.P. Pays dOc Rosé 2018,38.87,45.73,,
Calyptra Assemblage Gran Reserva 2014,148.17,174.32,4.0,1
Latitud 33° Syrah 2018,57.73,67.92,,
Terrazas Reserva Chardonnay 2018,130.9,154.0,,
Terrazas de Los Andes Single Vineyard Malbec 2015,335.3,394.47,,
Terrazas de Los Andes Reserva Syrah 2017,128.9,151.65,4.0,1
Casillero del Diablo Cabernet Sauvignon 2018,51.9,61.06,5.0,2
Quinta de São João Cuvée RB Branco 2017,40.73,47.92,,
Passión Arte D.O. Jumilla Garnacha 2018,36.42,42.84,3.5,2
WineBox Calyptra Prestige,372.06,437.72,,
Château lEsparrou Intense I.G.P. Pays dOc Blanc 2018,38.87,45.73,,
Passión Arte D.O. Jumilla Monastrell 2018,36.42,42.84,,
Señorío de Aldaz Crianza D.O. Navarra 2016,54.98,64.68,5.0,1
Partridge Seleccion De Barricas Ancellotta 2015,81.9,96.35,4.5,6
Señorío de Aldaz Roble D.O. Navarra 2016,52.42,61.67,4.0,1
Pinhal da Torre 2 Worlds White 2015,74.73,87.92,,
Stave and Steele White 2018,31.94,37.57,4.0,12
Artefacto Branco 2018,41.94,49.34,,
Terrazas de los Andes Reserva Malbec 2017 375 ml,82.37,96.9,4.0,1
Canepa Reserva Famiglia Syrah 2018,50.09,58.93,,
Toro Loco Reserva D.O. Utiel-Requena 2015,63.85,75.12,5.0,4
Teorema D.O. Calatayud Garnacha 2016,60.9,71.65,4.0,2
Calyptra Vivendo Reserve Sauvignon Blanc 2018,54.33,63.92,4.5,5
Cap Insula 2017,69.06,81.24,,
Pueblo del Sol Roble Cabernet Sauvignon 2018,36.65,43.12,4.0,3
Protos Roble D.O. Ribeira Del Duero 1.5L 2017,208.49,245.29,,
La Mora D.O.C.G. Morellino di Scansano 2018,66.85,78.65,4.5,3
Garriguette Branco,32.27,37.97,,
Bridlewood Paso Robles Cabernet Sauvignon 2017,92.9,109.3,4.0,8
Champagne Devaux Cuvée D Aged 5 Years Brut,314.65,370.18,5.0,1
Champagne Jacquart Brut Rosé Mosaique,265.73,312.63,5.0,8
Château de Fayolle Rouge 2016,53.3,62.7,3.5,8
Canepa Finisimo Gran Reserva Cabernet Sauvignon 2018,77.06,90.65,5.0,2
Château Capitoul Oros A.O.C. La Clape Blanc 2016,102.76,120.89,3.5,7
Chateau Moser XV Cabernet Sauvignon 2017,48.05,56.53,4.0,6
Cruz Andina Reserva D.O. Casablanca Valley Sauvignon Blanc 2017,34.34,40.4,4.5,23
El Bautismo Blend de Tintas 2018,34.1,40.12,4.0,7
Espumante Espace of Limarí Brut,51.97,61.14,4.0,10
Finca Constancia Parcela 12 Graciano 2016,55.94,65.82,,
L'Ostal Cazes Eclipse Syrah 2017,52.43,61.68,4.0,29
A Galet Blanco,25.95,30.53,3.5,9
Genio Español Roble D.O.P. Jumilla Monastrell 2016,46.4,54.59,3.5,52
Salentein Killka Sauvignon Blanc 2019,69.9,82.24,,
Fortant de France Terroir d'Altitude Syrah 2017,69.4,81.65,4.0,16
Altos del Plata Malbec 2018,78.73,92.63,,
Altos del Plata Cabernet Sauvignon 2018,78.73,92.63,,
Altivo Vineyard Selection Chardonnay 2018,42.1,49.53,4.5,7
WineBox Os Refrescantes,213.89,251.63,,
Beni di Batasiolo D.O.C.G. Barbaresco 2016,139.19,163.76,4.0,5
Château de Pierreux La Réserve A.O.C. Brouilly 2014,127.23,149.68,5.0,2
Sovento Tempranillo 2018,28.2,33.18,2.5,5
Genio Español 12 Meses en Barrica D.O.P. Jumilla Monastrell 2015,50.11,58.96,4.0,44
Calyptra Prestige 2015,105.9,124.59,4.5,14
Pinhal da Torre Late Harvest Tardio 2010 500 ml,142.39,167.52,4.0,1
Sovento Cabernet Sauvignon 2018,28.2,33.18,3.5,4
Salentein Killka Malbec 2018,69.9,82.24,,
Oxford Landing Estates Sauvignon Blanc 2017,56.1,66.0,4.0,14
Pueblo Del Sol Roble Tannat 2018,36.65,43.12,4.0,4
Frisante Porta Soprana D.O.C. Lambrusco Grasparossa di Castelvetro Amabile Suave,38.9,45.76,4.5,48
Salentein Killka Blend 2018,69.9,82.24,,
Salentein Killka Cabernet Sauvignon 2018,69.9,82.24,,
WineBox Sextou,180.0,211.77,,
Champagne Moët & Chandon Impérial Rosé Brut com Black Tie Suit,479.29,563.87,,
WineBox Churrasco,180.0,211.77,,
Corello I.G.P. Puglia Negroamaro 2018,34.74,40.87,4.5,22
WineBox Piscina,180.0,211.77,,
Maison Bouachon Les Rabassières Vieilles A.O.C Côtes-Du-Rhône 2016,61.89,72.81,4.0,9
Ti Rita Colheita 2018,25.09,29.52,4.0,1
Marqués De Somera Tempranillo 2018,32.83,38.62,4.0,9
Château de Fayolle Blanc 2016,53.3,62.7,1.5,4
Château Jalousie A.O.C. Bordeaux Supérieur 2016,53.65,63.12,3.0,14
Espumante Castell de Sant Pau D.O. Cava Nature,57.54,67.69,4.5,17
Bouquet Sauvignon 2018,33.22,39.08,4.5,7
