wine,link,pontuação,avaliações,volume
Baron Philippe de Rothschild Carménère 2018,https://wine.com.br/vinhos/baron-philippe-de-rothschild-carmenere-2018/prod22691.html,,(28),750.00 ml
Baron Philippe de Rothschild Merlot 2018,https://wine.com.br/vinhos/baron-philippe-de-rothschild-merlot-2018/prod22693.html,,(20),750.00 ml
Champagne Veuve Clicquot Extra Brut Extra Old,https://wine.com.br/vinhos/champagne-veuve-clicquot-extra-brut-extra-old/prod22707.html,,,750.00 ml
"Champagne Moët & Chandon Impérial Brut Magnum 1,5 L",https://wine.com.br/vinhos/champagne-moet-chandon-imperial-brut-magnum-1-5-l/prod22694.html,,,1500.00 ml
"Champagne Moët & Chandon Impérial Rosé Brut Magnum 1,5 L",https://wine.com.br/vinhos/champagne-moet-chandon-imperial-rose-brut-magnum-1-5-l/prod22700.html,,,1500.00 ml
Champagne Veuve Clicquot Rosé Brut com Cake,https://wine.com.br/vinhos/champagne-veuve-clicquot-rose-brut-com-cake/prod22708.html,,,750.00 ml
Terrazas de los Andes Single Vineyard Petit Manseng 2015 375 ml,https://wine.com.br/vinhos/terrazas-de-los-andes-single-vineyard-petit-manseng-2015-375-ml/prod22712.html,,(2),375.00 ml
Champagne Moët & Chandon Ice Impérial Demi-Sec com TAG,https://wine.com.br/vinhos/champagne-moet-chandon-ice-imperial-demi-sec-com-tag/prod22696.html,,,750.00 ml
Protos D.O. Ribera del Duero Tinto Fino 2017,https://wine.com.br/vinhos/protos-d-o-ribera-del-duero-tinto-fino-2017/prod22724.html,,(12),750.00 ml
Mad Chief Merlot 2018,https://wine.com.br/vinhos/mad-chief-merlot-2018/prod22730.html,,(30),750.00 ml
Nato Cabernet Sauvignon 2018,https://wine.com.br/vinhos/nato-cabernet-sauvignon-2018/prod22731.html,,(20),750.00 ml
Baron Philippe de Rothschild Cabernet Sauvignon Carménère 2018,https://wine.com.br/vinhos/baron-philippe-de-rothschild-cabernet-sauvignon-carmenere-2018/prod22689.html,,(16),750.00 ml
Nato Merlot 2018,https://wine.com.br/vinhos/nato-merlot-2018/prod22732.html,,(38),750.00 ml
Canepa Reserva Famiglia Chardonnay 2018,https://wine.com.br/vinhos/canepa-reserva-famiglia-chardonnay-2018/prod22626.html,,,750.00 ml
Wanaco Merlot 2018,https://wine.com.br/vinhos/wanaco-merlot-2018/prod22726.html,,(7),750.00 ml
Partridge Flying Malbec 2018,https://wine.com.br/vinhos/partridge-flying-malbec-2018/prod22646.html,,(31),750.00 ml
Miguel Torres Gran Reserva Carménère 2016,https://wine.com.br/vinhos/miguel-torres-gran-reserva-carmenere-2016/prod22648.html,,(29),750.00 ml
Mommessin Morgon Côte Du Py A.O.C. 2016,https://wine.com.br/vinhos/mommessin-morgon-cote-du-py-a-o-c-2016/prod22627.html,,(15),750.00 ml
"Champagne Ruinart Blanc de Blancs Brut Magnum 1,5 L",https://wine.com.br/vinhos/champagne-ruinart-blanc-de-blancs-brut-magnum-1-5-l/prod22690.html,,,1500.00 ml
Mad Chief Syrah 2018,https://wine.com.br/vinhos/mad-chief-syrah-2018/prod22729.html,,(24),750.00 ml
Numanthia 2012,https://wine.com.br/vinhos/numanthia-2012/prod22713.html,,,750.00 ml
Baron Philippe de Rothschild Syrah Rosé 2018,https://wine.com.br/vinhos/baron-philippe-de-rothschild-syrah-rose-2018/prod22702.html,,(17),750.00 ml
